Name	Cylinders	Displacement	Horsepower	Weight	ModelYear	Origin
chevrolet citation	6	173.0	110.0	2725	81	usa
pontiac phoenix	4	151.0	90.0	2735	82	usa
pontiac sunbird coupe	4	151.0	88.0	2740	77	usa
plymouth sapporo	4	156.0	105.0	2745	78	usa
ford mustang ii 2+2	4	140.0	89.0	2755	77	usa
amc hornet	6	199.0	97.0	2774	70	usa
amc gremlin	6	232.0	100.0	2789	73	usa
ford mustang gl	4	140.0	86.0	2790	82	usa
saab 99gle	4	121.0	115.0	2795	78	europe
dodge colt	4	156.0	105.0	2800	80	usa
toyota mark ii	6	156.0	122.0	2807	73	japan
datsun 810	6	146.0	97.0	2815	77	japan
audi 5000	5	131.0	103.0	2830	78	europe
plymouth duster	6	198.0	95.0	2833	70	usa
ford granada l	6	232.0	112.0	2835	82	usa
oldsmobile starfire sx	4	151.0	85.0	2855	78	usa
ford fairmont futura	4	140.0	92.0	2865	82	usa
volvo 144ea	4	121.0	112.0	2868	73	europe
ford fairmont	4	140.0	88.0	2870	80	usa
ford maverick	6	200.0		2875	74	usa
ford fairmont 4	4	140.0	88.0	2890	79	usa
toyota cressida	6	168.0	116.0	2900	81	japan
amc hornet	6	232.0	100.0	2901	74	usa
plymouth duster	6	198.0	95.0	2904	73	usa
ford mustang cobra	4	140.0		2905	80	usa
datsun 280-zx	6	168.0	132.0	2910	80	japan
amc gremlin	6	232.0	100.0	2914	75	usa
toyota mark ii	6	156.0	108.0	2930	76	japan
datsun 810 maxima	6	146.0	120.0	2930	81	japan
volvo 145e (sw)	4	121.0	112.0	2933	72	europe
amc hornet	6	232.0	100.0	2945	73	usa
volvo 244dl	4	121.0	98.0	2945	75	europe
buick century limited	6	181.0	110.0	2945	82	usa
audi 5000s (diesel)	5	121.0	67.0	2950	80	europe
chevrolet camaro	4	151.0	90.0	2950	82	usa
peugeot 504	4	120.0	88.0	2957	75	europe
amc hornet sportabout (sw)	6	258.0	110.0	2962	71	usa
ford fairmont (auto)	6	200.0	85.0	2965	78	usa
peugeot 504 (sw)	4	120.0	87.0	2979	72	europe
ford pinto	6	171.0	97.0	2984	75	usa
mercury zephyr 6	6	200.0	85.0	2990	79	usa
amc concord	4	151.0	90.0	3003	80	usa
ford maverick	6	200.0	81.0	3012	76	usa
oldsmobile cutlass ciera (diesel)	6	262.0	85.0	3015	82	usa
ford maverick	6	250.0	88.0	3021	73	usa
amc concord dl	4	151.0		3035	82	usa
buick skyhawk	6	231.0	110.0	3039	75	usa
ford granada gl	6	200.0	88.0	3060	81	usa
mercury zephyr	6	200.0	85.0	3070	78	usa
amc hornet	6	232.0	90.0	3085	76	usa
buick estate wagon (sw)	8	455.0	225.0	3086	70	usa
plymouth duster	6	198.0	95.0	3102	74	usa
plymouth valiant	6	225.0	105.0	3121	73	usa
ford mustang	6	250.0	88.0	3139	71	usa
volvo 264gl	6	163.0	125.0	3140	78	europe
volvo 245	4	130.0	102.0	3150	76	europe
chevrolet malibu	6	200.0	95.0	3155	78	usa
ford maverick	6	250.0	72.0	3158	75	usa
volvo diesel	6	145.0	76.0	3160	81	europe
ford mustang ii	8	302.0	129.0	3169	75	usa
peugeot 504	4	141.0	71.0	3190	79	europe
amc pacer d/l	6	258.0	95.0	3193	76	usa
ford futura	8	302.0	139.0	3205	78	usa
amc concord	6	232.0	90.0	3210	78	usa
amc pacer	6	232.0	90.0	3211	75	usa
chevrolet monza 2+2	8	262.0	110.0	3221	75	usa
peugeot 505s turbo diesel	4	141.0	80.0	3230	81	europe
plymouth valiant	6	225.0	100.0	3233	76	usa
pontiac lemans v6	6	231.0	115.0	3245	79	usa
mercedes-benz 240d	4	146.0	67.0	3250	80	europe
plymouth valiant custom	6	225.0	95.0	3264	75	usa
amc concord dl 6	6	232.0	90.0	3265	79	usa
peugeot 504	4	120.0	88.0	3270	76	europe
chevrolet nova custom	6	250.0	100.0	3278	73	usa
pontiac firebird	6	250.0	100.0	3282	71	usa
amc matador	6	232.0	100.0	3288	71	usa
ford torino 500	6	250.0	88.0	3302	71	usa
chevrolet chevelle malibu	6	250.0	100.0	3329	71	usa
chevrolet nova	6	250.0	100.0	3336	74	usa
chevrolet nova	6	250.0	105.0	3353	76	usa
dodge aspen 6	6	225.0	110.0	3360	79	usa
oldsmobile cutlass salon brougham	8	260.0	110.0	3365	78	usa
buick century special	6	231.0	105.0	3380	78	usa
dodge aspen	6	225.0	90.0	3381	80	usa
dodge dart custom	8	318.0	150.0	3399	73	usa
amc concord d/l	6	258.0	120.0	3410	78	usa
peugeot 604sl	6	163.0	133.0	3410	78	europe
buick century	6	231.0	110.0	3415	81	usa
oldsmobile cutlass salon brougham	8	260.0	90.0	3420	79	usa
buick skylark	6	231.0	105.0	3425	77	usa
chevrolet monte carlo landau	8	305.0	145.0	3425	78	usa
plymouth volare	6	225.0	100.0	3430	78	usa
mercury monarch	6	250.0	72.0	3432	75	usa
amc rebel sst	8	304.0	150.0	3433	70	usa
plymouth satellite	8	318.0	150.0	3436	70	usa
plymouth satellite custom	6	225.0	105.0	3439	71	usa
buick regal sport coupe (turbo)	6	231.0	165.0	3445	78	usa
ford torino	8	302.0	140.0	3449	70	usa
chevrolet nova	6	250.0	105.0	3459	75	usa
chrysler lebaron salon	6	225.0	85.0	3465	81	usa
chevrolet chevelle malibu	8	307.0	130.0	3504	70	usa
chevrolet concours	6	250.0	110.0	3520	77	usa
ford granada	6	250.0	98.0	3525	77	usa
mercedes benz 300d	5	183.0	77.0	3530	79	europe
pontiac phoenix lj	6	231.0	105.0	3535	78	usa
dodge challenger se	8	383.0	170.0	3563	70	usa
mercury monarch ghia	8	302.0	139.0	3570	78	usa
ford granada ghia	6	250.0	78.0	3574	76	usa
chevrolet malibu classic (sw)	8	267.0	125.0	3605	79	usa
plymouth 'cuda 340	8	340.0	160.0	3609	70	usa
plymouth satellite sebring	6	225.0	105.0	3613	74	usa
dodge aspen	6	225.0	110.0	3620	78	usa
plymouth volare custom	6	225.0	100.0	3630	77	usa
amc matador	6	258.0	110.0	3632	74	usa
pontiac ventura sj	6	250.0	110.0	3645	76	usa
dodge aspen se	6	225.0	100.0	3651	76	usa
oldsmobile omega	8	350.0	180.0	3664	73	usa
amc ambassador sst	8	304.0	150.0	3672	72	usa
amc matador	8	304.0	150.0	3672	73	usa
buick skylark 320	8	350.0	165.0	3693	70	usa
ford ltd landau	8	302.0	129.0	3725	79	usa
oldsmobile cutlass ls	8	350.0	105.0	3725	81	usa
amc matador	6	258.0	110.0	3730	75	usa
dodge diplomat	8	318.0	140.0	3735	78	usa
dodge d100	8	318.0	150.0	3755	76	usa
chevrolet monte carlo	8	400.0	150.0	3761	70	usa
dodge coronet custom	8	318.0	150.0	3777	73	usa
chevrolet chevelle malibu classic	6	250.0	100.0	3781	74	usa
plymouth fury	6	225.0	95.0	3785	75	usa
mercedes-benz 280s	6	168.0	120.0	3820	76	europe
amc ambassador brougham	8	360.0	175.0	3821	73	usa
dodge st. regis	8	318.0	135.0	3830	79	usa
chevrolet caprice classic	8	305.0	130.0	3840	79	usa
amc ambassador dpl	8	390.0	190.0	3850	70	usa
ford f108	8	302.0	130.0	3870	76	usa
chevrolet caprice classic	8	305.0	145.0	3880	77	usa
amc matador (sw)	8	304.0	150.0	3892	72	usa
chevroelt chevelle malibu	6	250.0	105.0	3897	75	usa
cadillac eldorado	8	350.0	125.0	3900	79	usa
buick century	6	231.0	110.0	3907	75	usa
plymouth volare premier v8	8	318.0	150.0	3940	76	usa
chrysler lebaron town @ country (sw)	8	360.0	150.0	3940	79	usa
mercury grand marquis	8	351.0	138.0	3955	79	usa
amc matador	8	304.0	120.0	3962	76	usa
chevrolet malibu	8	350.0	145.0	3988	73	usa
ford gran torino	8	302.0	137.0	4042	73	usa
ford country squire (sw)	8	351.0	142.0	4054	79	usa
chevy c10	8	350.0	145.0	4055	76	usa
oldsmobile cutlass supreme	8	260.0	110.0	4060	77	usa
plymouth satellite custom (sw)	8	318.0	150.0	4077	72	usa
dodge magnum xe	8	318.0	140.0	4080	78	usa
chevrolet monte carlo s	8	350.0	145.0	4082	73	usa
plymouth fury iii	8	318.0	150.0	4096	71	usa
chevrolet chevelle concours (sw)	8	307.0	130.0	4098	72	usa
buick century 350	8	350.0	175.0	4100	73	usa
ford galaxie 500	8	351.0	153.0	4129	72	usa
plymouth fury iii	8	318.0	150.0	4135	72	usa
dodge monaco brougham	8	318.0	145.0	4140	77	usa
ford gran torino	8	302.0	140.0	4141	74	usa
ford galaxie 500	8	351.0	153.0	4154	71	usa
chevrolet monte carlo landau	8	350.0	170.0	4165	77	usa
dodge coronet brougham	8	318.0	150.0	4190	76	usa
chevrolet impala	8	350.0	165.0	4209	71	usa
chevrolet chevelle malibu classic	8	305.0	140.0	4215	76	usa
ford gran torino	8	351.0	152.0	4215	76	usa
pontiac grand prix lj	8	400.0	180.0	4220	77	usa
plymouth fury gran sedan	8	318.0	150.0	4237	73	usa
amc matador (sw)	8	304.0	150.0	4257	74	usa
chevrolet impala	8	350.0	165.0	4274	72	usa
pontiac grand prix	8	400.0	230.0	4278	73	usa
ford gran torino (sw)	8	302.0	140.0	4294	72	usa
mercury cougar brougham	8	302.0	130.0	4295	77	usa
plymouth fury iii	8	440.0	215.0	4312	70	usa
chrysler cordoba	8	400.0	190.0	4325	77	usa
ford thunderbird	8	351.0	149.0	4335	77	usa
ford galaxie 500	8	429.0	198.0	4341	70	usa
chevrolet impala	8	454.0	220.0	4354	70	usa
buick estate wagon (sw)	8	350.0	155.0	4360	79	usa
ford ltd	8	351.0	158.0	4363	73	usa
chevy c20	8	307.0	200.0	4376	70	usa
cadillac seville	8	350.0	180.0	4380	76	usa
dodge d200	8	318.0	210.0	4382	70	usa
pontiac catalina	8	400.0	175.0	4385	72	usa
chrysler newport royal	8	400.0	190.0	4422	72	usa
pontiac catalina	8	455.0	225.0	4425	70	usa
chevrolet bel air	8	350.0	145.0	4440	75	usa
oldsmobile delta 88 royale	8	350.0	160.0	4456	72	usa
dodge coronet custom (sw)	8	318.0	150.0	4457	74	usa
pontiac catalina brougham	8	400.0	175.0	4464	71	usa
chevrolet caprice classic	8	400.0	150.0	4464	73	usa
plymouth grand fury	8	318.0	150.0	4498	75	usa
oldsmobile vista cruiser	8	350.0	180.0	4499	73	usa
ford f250	8	360.0	215.0	4615	70	usa
mercury marquis	8	429.0	208.0	4633	72	usa
ford gran torino (sw)	8	302.0	140.0	4638	74	usa
plymouth custom suburb	8	360.0	170.0	4654	73	usa
ford ltd	8	351.0	148.0	4657	75	usa
pontiac catalina	8	400.0	170.0	4668	75	usa
buick century luxus (sw)	8	350.0	150.0	4759	74	usa
hi 1200d	8	304.0	193.0	4832	70	usa
chrysler new yorker brougham	8	440.0	215.0	4835	73	usa
ford country squire (sw)	8	400.0	170.0	4846	71	usa
buick lesabre custom	8	350.0	155.0	4902	72	usa
ford country	8	400.0	167.0	4906	73	usa
buick electra 225 custom	8	455.0	225.0	5051	73	usa
mercury marquis brougham	8	429.0	198.0	5052	73	usa
dodge monaco (sw)	8	383.0	180.0	5055	71	usa
chevrolet impala	8	400.0	150.0	5097	73	usa
pontiac safari (sw)	8	400.0	175.0	5140	71	usa
